Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Empty	0	0	0
Head	Empty	0	0	0
Face	Empty	0	0	0
Ear	Empty	0	0	0
Neck	Empty	0	0	0
Shoulders	Empty	0	0	0
Arms	Empty	0	0	0
Back	Empty	0	0	0
Wrist	Empty	0	0	0
Wrist	Empty	0	0	0
Range	Empty	0	0	0
Hands	Empty	0	0	0
Primary	Empty	0	0	0
Secondary	Empty	0	0	0
Fingers	Empty	0	0	0
Fingers	Empty	0	0	0
Chest	Empty	0	0	0
Legs	Empty	0	0	0
Feet	Empty	0	0	0
Waist	Empty	0	0	0
Ammo	Empty	0	0	0
General1	Medicine Bag	17901	1	8
General1-Slot1	Woodsman's Staff	6635	1	5
General1-Slot2	Wu's Quivering Staff	6651	1	5
General1-Slot3	Wraith Bone Hammer	6382	1	5
General1-Slot4	Elemental Binder	28043	1	5
General1-Slot5	Lost Staff of the Scorned	6680	1	5
General1-Slot6	Sainy's Claw	7228	1	5
General1-Slot7	A Crude Stein	13355	1	5
General1-Slot8	A Shovel	16545	1	5
General2	Medicine Bag	17901	1	8
General2-Slot1	Springwood Club	6616	1	5
General2-Slot2	Springwood Club	6616	1	5
General2-Slot3	Springwood Club	6616	1	5
General2-Slot4	Springwood Club	6616	1	5
General2-Slot5	A Torch	16546	1	5
General2-Slot6	Bottled Djinni	20981	1	5
General2-Slot7	Smoldering Brand	6692	1	5
General2-Slot8	Nebulous Emerald	20832	1	5
General3	Shralok Pack	17401	1	8
General3-Slot1	Blue Diamond	22503	1	5
General3-Slot2	Sebilite Scale Leggings	3210	1	5
General3-Slot3	Green Jade Broadsword	5153	1	5
General3-Slot4	Flawed Topaz	25818	1	5
General3-Slot5	Ring of Shadows	10357	1	5
General3-Slot6	Arctic Wyvern Hide	28511	1	5
General3-Slot7	Chipped Onyx Sapphire	25827	1	5
General3-Slot8	Empty	0	0	0
General4	Shralok Pack	17401	1	8
General4-Slot1	Empty	0	0	0
General4-Slot2	Empty	0	0	0
General4-Slot3	Empty	0	0	0
General4-Slot4	Empty	0	0	0
General4-Slot5	Empty	0	0	0
General4-Slot6	Empty	0	0	0
General4-Slot7	Empty	0	0	0
General4-Slot8	Empty	0	0	0
General5	Medicine Bag	17901	1	8
General5-Slot1	Empty	0	0	0
General5-Slot2	Empty	0	0	0
General5-Slot3	Empty	0	0	0
General5-Slot4	Empty	0	0	0
General5-Slot5	Empty	0	0	0
General5-Slot6	Empty	0	0	0
General5-Slot7	Empty	0	0	0
General5-Slot8	Empty	0	0	0
General6	Medicine Bag	17901	1	8
General6-Slot1	Empty	0	0	0
General6-Slot2	Empty	0	0	0
General6-Slot3	Empty	0	0	0
General6-Slot4	Empty	0	0	0
General6-Slot5	Empty	0	0	0
General6-Slot6	Empty	0	0	0
General6-Slot7	Empty	0	0	0
General6-Slot8	Empty	0	0	0
General7	Crushed Jaundice Gem	25829	3	5
General8	Crushed Flame Opal	25837	3	5
Held	Empty	0	0	0
Bank1	Empty	0	0	0
Bank2	Empty	0	0	0
Bank3	Empty	0	0	0
Bank4	Empty	0	0	0
Bank5	Empty	0	0	0
Bank6	Empty	0	0	0
Bank7	Empty	0	0	0
Bank8	Empty	0	0	0
Bank9	Empty	0	0	0
Bank10	Empty	0	0	0
Bank11	Empty	0	0	0
Bank12	Empty	0	0	0
Bank13	Empty	0	0	0
Bank14	Empty	0	0	0
Bank15	Empty	0	0	0
Bank16	Empty	0	0	0
SharedBank1	Empty	0	0	0
SharedBank2	Empty	0	0	0
