Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Black Sapphire Electrum Earring	14701	1	5
Head	Empty	0	0	0
Face	Crystal Spider Eyes	25282	1	5
Ear	Black Sapphire Electrum Earring	14701	1	5
Neck	Petrified Erudite Heart Amulet	10216	1	5
Shoulders	Mantle of Mirth	14713	1	5
Arms	Empty	0	0	0
Back	Loam Encrusted Cloak	1646	1	5
Wrist	Supple Scale Armband	1618	1	5
Wrist	Bracelet of Cessation	12804	1	5
Range	Empty	0	0	0
Hands	ShadowBound Gloves	3318	1	5
Primary	Empty	0	0	0
Secondary	A Crude Stein	13355	1	5
Fingers	Velium Fire Wedding Ring	30339	1	5
Fingers	Ring of the Frost Spiders	2685	1	5
Chest	Robe of the Oracle	1354	1	5
Legs	Empty	0	0	0
Feet	ShadowBound Boots	3317	1	5
Waist	Loam Encrusted Sash	1647	1	5
Ammo	Empty	0	0	0
General1	Medicine Bag	17901	1	8
General1-Slot1	Black Pantherskin Tunic	24839	1	5
General1-Slot2	Black Pantherskin Leggings	24846	1	5
General1-Slot3	Tar goo strands	1703	1	5
General1-Slot4	Black Pantherskin Gloves	24845	1	5
General1-Slot5	Velium Fire Wedding Ring	30339	1	5
General1-Slot6	Empty	0	0	0
General1-Slot7	Empty	0	0	0
General1-Slot8	Empty	0	0	0
General2	Medicine Bag	17901	1	8
General2-Slot1	Empty	0	0	0
General2-Slot2	Empty	0	0	0
General2-Slot3	Empty	0	0	0
General2-Slot4	Empty	0	0	0
General2-Slot5	Empty	0	0	0
General2-Slot6	Empty	0	0	0
General2-Slot7	Empty	0	0	0
General2-Slot8	Empty	0	0	0
General3	Medicine Bag	17901	1	8
General3-Slot1	Empty	0	0	0
General3-Slot2	Empty	0	0	0
General3-Slot3	Empty	0	0	0
General3-Slot4	Empty	0	0	0
General3-Slot5	Empty	0	0	0
General3-Slot6	Empty	0	0	0
General3-Slot7	10 Dose Blood of the Wolf	14534	1	5
General3-Slot8	10 Dose Blood of the Wolf	14534	1	5
General4	Medicine Bag	17901	1	8
General4-Slot1	Empty	0	0	0
General4-Slot2	Bone Chips	13073	12	5
General4-Slot3	Bone Chips	13073	20	5
General4-Slot4	Bone Chips	13073	20	5
General4-Slot5	Bone Chips	13073	20	5
General4-Slot6	Bone Chips	13073	16	5
General4-Slot7	Bone Chips	13073	20	5
General4-Slot8	Bone Chips	13073	20	5
General5	Medicine Bag	17901	1	8
General5-Slot1	Empty	0	0	0
General5-Slot2	Empty	0	0	0
General5-Slot3	Iron Ration	13005	13	5
General5-Slot4	Water Flask	13006	15	5
General5-Slot5	Iron Ration	13005	20	5
General5-Slot6	Water Flask	13006	20	5
General5-Slot7	Iron Ration	13005	20	5
General5-Slot8	Water Flask	13006	20	5
General6	Large Sewing Kit	17880	1	8
General6-Slot1	Worker Sledgemallet	12863	1	5
General6-Slot2	Key to Charasis	2667	1	5
General6-Slot3	Loam Encrusted Lined Shoes	1652	1	5
General6-Slot4	Tooth of the Cobalt Scar	31602	1	5
General6-Slot5	Book of Frost	10537	1	5
General6-Slot6	Peridot	10028	2	5
General6-Slot7	Hole Key	6379	1	5
General6-Slot8	Bone Crafted Key	6378	1	5
General7	Large Brick of Velium	22094	1	5
General8	Journeyman's Boots	2300	1	5
Held	Empty	0	0	0
Bank1	Book of Dark Bindings	17501	1	10
Bank1-Slot1	Crushed Diamonds	12945	1	5
Bank1-Slot2	Words of Absorption	11820	5	5
Bank1-Slot3	Strange Ochre Clay	12942	1	5
Bank1-Slot4	Words of Acquisition (Beza)	11866	1	5
Bank1-Slot5	Words of Allure	11829	3	5
Bank1-Slot6	Words of Anthology	11822	4	5
Bank1-Slot7	Words of Bidding	11857	1	5
Bank1-Slot8	Words of Burnishing	11862	2	5
Bank1-Slot9	Words of Cazic-Thule	16039	18	5
Bank1-Slot10	Words of Cloudburst	11833	2	5
Bank2	Large Sewing Kit	17880	1	8
Bank2-Slot1	Words of Collection (Beza)	11858	4	5
Bank2-Slot2	Words of Collection (Caza)	11864	2	5
Bank2-Slot3	Words of Crippling Force	11870	4	5
Bank2-Slot4	Words of Dark Paths	11850	2	5
Bank2-Slot5	Symbol of Insanity	20648	1	5
Bank2-Slot6	Words of Descrying	11852	2	5
Bank2-Slot7	Words of Detachment	11835	2	5
Bank2-Slot8	Words of Discernment	11823	3	5
Bank3	Large Sewing Kit	17880	1	8
Bank3-Slot1	Empty	0	0	0
Bank3-Slot2	Words of Dissolution	11812	2	5
