Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Orc Fang Earring	30110	1	5
Head	Black Pantherskin Skullcap	24836	1	5
Face	Targishin's Bone Mask	99505	1	5
Ear	Earring of Essence	14714	1	5
Neck	Black Pantherskin Gorget	24838	1	5
Shoulders	Black Pantherskin Shoulderpads	24840	1	5
Arms	Black Pantherskin Sleeves	24843	1	5
Back	Black Pantherskin Cloak	24841	1	5
Wrist	Tar goo strands	1703	1	5
Wrist	Tar goo strands	1703	1	5
Range	Idol of the Thorned	14722	1	5
Hands	Black Pantherskin Gloves	24845	1	5
Primary	Adamantite Club	6604	1	5
Secondary	Stave of Shielding	6610	1	5
Fingers	Velium Fire Wedding Ring	30339	1	5
Fingers	Velium Fire Wedding Ring	30339	1	5
Chest	Black Pantherskin Tunic	24839	1	5
Legs	Black Pantherskin Leggings	24846	1	5
Feet	Footpads of the Tiger	6954	1	5
Waist	Sash of the Dragonborn	1623	1	5
Ammo	Empty	0	0	0
General1	Shralok Pack	17401	1	8
General1-Slot1	Imbued Fighters Staff	5162	1	5
General1-Slot2	Empty	0	0	0
General1-Slot3	Empty	0	0	0
General1-Slot4	Empty	0	0	0
General1-Slot5	Empty	0	0	0
General1-Slot6	Empty	0	0	0
General1-Slot7	Empty	0	0	0
General1-Slot8	Empty	0	0	0
General2	Shralok Pack	17401	1	8
General2-Slot1	Empty	0	0	0
General2-Slot2	Empty	0	0	0
General2-Slot3	Empty	0	0	0
General2-Slot4	Empty	0	0	0
General2-Slot5	Empty	0	0	0
General2-Slot6	Empty	0	0	0
General2-Slot7	Empty	0	0	0
General2-Slot8	Empty	0	0	0
General3	Shralok Pack	17401	1	8
General3-Slot1	Empty	0	0	0
General3-Slot2	Empty	0	0	0
General3-Slot3	Empty	0	0	0
General3-Slot4	Empty	0	0	0
General3-Slot5	Empty	0	0	0
General3-Slot6	Empty	0	0	0
General3-Slot7	Empty	0	0	0
General3-Slot8	Empty	0	0	0
General4	Medicine Bag	17901	1	8
General4-Slot1	Empty	0	0	0
General4-Slot2	Empty	0	0	0
General4-Slot3	Empty	0	0	0
General4-Slot4	Empty	0	0	0
General4-Slot5	Empty	0	0	0
General4-Slot6	Empty	0	0	0
General4-Slot7	Empty	0	0	0
General4-Slot8	Empty	0	0	0
General5	Large Soiled Bag	17404	1	10
General5-Slot1	Bottle of Milk	13087	8	5
General5-Slot2	Muffin	13014	3	5
General5-Slot3	Spell: Spirit of Scale	19238	1	5
General5-Slot4	Ration	13007	20	5
General5-Slot5	Tooth of the Cobalt Scar	31602	1	5
General5-Slot6	Empty	0	0	0
General5-Slot7	Bandages	13009	13	5
General5-Slot8	Bandages	13009	20	5
General5-Slot9	10 Dose Blood of the Wolf	14534	1	5
General5-Slot10	Bandages	13009	20	5
General6	Shrunken Goblin Skull Earring	10580	1	5
General7	Crushed Sea Sapphire	25839	1	5
General8	Journeyman's Boots	2300	1	5
Held	Empty	0	0	0
Bank1	Deluxe Toolbox	17877	1	10
Bank1-Slot1	Silk Swatch	16482	20	5
Bank1-Slot2	Silk Swatch	16482	20	5
Bank1-Slot3	Silk Swatch	16482	20	5
Bank1-Slot4	Silk Swatch	16482	20	5
Bank1-Slot5	Silk Swatch	16482	20	5
Bank1-Slot6	Silk Swatch	16482	20	5
Bank1-Slot7	Silk Swatch	16482	11	5
Bank1-Slot8	Empty	0	0	0
Bank1-Slot9	Empty	0	0	0
Bank1-Slot10	Empty	0	0	0
Bank2	Deluxe Toolbox	17877	1	10
Bank2-Slot1	Empty	0	0	0
Bank2-Slot2	Empty	0	0	0
Bank2-Slot3	Empty	0	0	0
Bank2-Slot4	Empty	0	0	0
Bank2-Slot5	Empty	0	0	0
Bank2-Slot6	Empty	0	0	0
Bank2-Slot7	Empty	0	0	0
Bank2-Slot8	Empty	0	0	0
Bank2-Slot9	Empty	0	0	0
Bank2-Slot10	Empty	0	0	0
Bank3	Deluxe Toolbox	17877	1	10
Bank3-Slot1	Empty	0	0	0
Bank3-Slot2	Empty	0	0	0
Bank3-Slot3	Empty	0	0	0
Bank3-Slot4	Empty	0	0	0
Bank3-Slot5	Empty	0	0	0
Bank3-Slot6	Empty	0	0	0
Bank3-Slot7	Empty	0	0	0
Bank3-Slot8	Empty	0	0	0
Bank3-Slot9	Empty	0	0	0
Bank3-Slot10	Empty	0	0	0
Bank4	Deluxe Toolbox	17877	1	10
Bank4-Slot1	Empty	0	0	0
Bank4-Slot2	Empty	0	0	0
Bank4-Slot3	Empty	0	0	0
